
Analyse :Analysis1, Jeu de charges :LoadSet1
max_beam_bending, 0
max_beam_tensile, 0
max_beam_torsion, 0
max_beam_total, 0
max_disp_mag, 5.17476, -5.45, -127.2, 2.5
max_disp_x, 5.15751, -5.45, -127.2, 2.5
max_disp_y, 3.98778, 51.999, -40.3105, 1.24478
max_disp_z, -0.00454045, 0.297893, -59.7314, -2.5
max_prin_mag, 48.0853, -0.291956, -60.2745, -0.943555
max_rot_mag, 0, 0.402586, -62.7246, -2.11276
max_rot_x, 0, 0.644417, -60.0428, 2.41811
max_rot_y, 0, 0.644417, -60.0428, 2.41811
max_rot_z, 0, 0.644417, -60.0428, 2.41811
max_stress_prin, 48.0853, -0.291956, -60.2745, -0.943555
max_stress_vm, 46.3557, -0.258756, -60.3064, -2.3404
max_stress_xx, 28.18, -0.468001, -60.1221, 1.58856
max_stress_xy, -23.8536, -0.291956, -60.2745, -0.943555
max_stress_xz, -2.21832, -0.773695, -59.9157, 2.36211
max_stress_yy, -28.0309, 0.0640689, -59.4777, -1.06838
max_stress_yz, 2.82822, -0.166553, -59.1358, -2.42157
max_stress_zz, 13.544, -0.336926, -60.2332, -0.162248
min_stress_prin, -47.8306, 0.265033, -59.6998, -2.20984
strain_energy, 0.920039
